course_code,topic,question,option_a,option_b,option_c,option_d,correct,explanation
ECOM2402,Pointers,في C++ المؤشّر pointer يخزّن عادةً,قيمة المتغير نفسه,عنوان موقع في الذاكرة,اسم الدالة فقط,حجم المصفوفة,B,المؤشر يحتوي عنوانًا في الذاكرة وليس القيمة مباشرة
ECOM2402,OOP,الكلمة المفتاحية التي تُستخدم لإنشاء كائن من صنف هي,class,new,delete,virtual,B,new تخصّص ذاكرة وتُنشئ الكائن (أو المُنشئ مباشرة للكائنات على المكدس)
ECOM2311,Logic,عبارة (P ∧ ¬P) تكون,دائمًا صحيحة,دائمًا خاطئة,تعتمد على P,غير معرّفة,B,تناقض منطقي — لا يمكن أن تكون القضية ونفيها معًا
ECOM2311,Sets,اتحاد المجموعتين A و B يضم,عناصر A فقط,عناصر في A أو B أو كليهما,تقاطعهما فقط,عناصر خارج A وB,B,الاتحاد A∪B = العناصر في أحدهما على الأقل
MATH2341,Matrices,مصفوفة الوحدة I تحقق لأي مصفوفة مربعة A قابلة للضرب,A+I=0,AI=A و IA=A,A−I=A,det(I)=0,B,ضرب مصفوفة الوحدة لا يغيّر المصفوفة
MATH2341,Vectors,المتجهان متعامدان إذا كان حاصل ضربهما النقطي,يساوي 1,يساوي 0,سالب دائمًا,غير معرّف,B,u·v = 0 يعني التعامد في الفضاء الإقليدي
ARAB1202,نحو,الفاعل في الجملة الاسمية يُسمّى غالبًا,خبرًا,مبتدأ,مفعولًا به,حالًا,B,الجملة الاسمية تبدأ بمبتدأ ويأتي بعده الخبر
ENGG1305,Vocab,في الإنجليزية التقنية كلمة algorithm تعني,خطأ برمجي,خوارزمية / خطوات حل مشكلة,ذاكرة عشوائية,نظام تشغيل,B,Algorithm = مجموعة خطوات لحل مسألة
QURN3101,تجويد,عدد أجزاء القرآن الكريم,7,15,30,60,C,القرآن مقسّم إلى ثلاثين جزءًا
ENGG1209,CAD,الهدف الأساسي من الرسم الهندسي بالحاسوب,كتابة تقارير فقط,تمثيل دقيق للأبعاد والتصميم,تشغيل الشبكات,تشفير البيانات,B,CAD يُستخدم لرسم وتصميم هندسي دقيق
